task,choices,response,response_type,domain,gender,age,id_seq
Some;hunters;lawyers/No;athletes;lawyers,All;hunters;athletes|All;athletes;hunters|Some;hunters;athletes|Some;athletes;hunters|Some not;hunters;athletes|Some not;athletes;hunters|No;hunters;athletes|No;athletes;hunters|NVC,Some not;hunters;athletes,single-choice,syllogistic,female,56,1_21_R
Some;mayors;cooks/Some;swimmers;mayors,All;cooks;swimmers|All;swimmers;cooks|Some;cooks;swimmers|Some;swimmers;cooks|Some not;cooks;swimmers|Some not;swimmers;cooks|No;cooks;swimmers|No;swimmers;cooks|NVC,NVC,single-choice,syllogistic,female,56,1_22_R
Some;poets;waiters/All;cashiers;waiters,All;poets;cashiers|All;cashiers;poets|Some;poets;cashiers|Some;cashiers;poets|Some not;poets;cashiers|Some not;cashiers;poets|No;poets;cashiers|No;cashiers;poets|NVC,NVC,single-choice,syllogistic,female,56,1_23_R
All;agents;secretaries/All;brokers;agents,All;secretaries;brokers|All;brokers;secretaries|Some;secretaries;brokers|Some;brokers;secretaries|Some not;secretaries;brokers|Some not;brokers;secretaries|No;secretaries;brokers|No;brokers;secretaries|NVC,All;brokers;secretaries,single-choice,syllogistic,female,56,1_24_R
Some not;students;buyers/All;cyclists;buyers,All;students;cyclists|All;cyclists;students|Some;students;cyclists|Some;cyclists;students|Some not;students;cyclists|Some not;cyclists;students|No;students;cyclists|No;cyclists;students|NVC,Some not;students;cyclists,single-choice,syllogistic,female,56,1_25_R
Some not;workers;actors/Some not;painters;workers,All;actors;painters|All;painters;actors|Some;actors;painters|Some;painters;actors|Some not;actors;painters|Some not;painters;actors|No;actors;painters|No;painters;actors|NVC,NVC,single-choice,syllogistic,female,56,1_26_R
Some not;designers;architects/Some;designers;trainers,All;architects;trainers|All;trainers;architects|Some;architects;trainers|Some;trainers;architects|Some not;architects;trainers|Some not;trainers;architects|No;architects;trainers|No;trainers;architects|NVC,NVC,single-choice,syllogistic,female,56,1_27_R
All;brewers;judges/Some;brewers;porters,All;judges;porters|All;porters;judges|Some;judges;porters|Some;porters;judges|Some not;judges;porters|Some not;porters;judges|No;judges;porters|No;porters;judges|NVC,Some;judges;porters,single-choice,syllogistic,female,56,1_28_R
Some not;novelists;travelers/Some not;novelists;analysts,All;travelers;analysts|All;analysts;travelers|Some;travelers;analysts|Some;analysts;travelers|Some not;travelers;analysts|Some not;analysts;travelers|No;travelers;analysts|No;analysts;travelers|NVC,NVC,single-choice,syllogistic,female,56,1_29_R
Some;tutors;butchers/No;tutors;packers,All;butchers;packers|All;packers;butchers|Some;butchers;packers|Some;packers;butchers|Some not;butchers;packers|Some not;packers;butchers|No;butchers;packers|No;packers;butchers|NVC,NVC,single-choice,syllogistic,female,56,1_30_R
All;editors;florists/All;editors;soldiers,All;florists;soldiers|All;soldiers;florists|Some;florists;soldiers|Some;soldiers;florists|Some not;florists;soldiers|Some not;soldiers;florists|No;florists;soldiers|No;soldiers;florists|NVC,Some;soldiers;florists,single-choice,syllogistic,female,56,1_31_R
All;therapists;climbers/No;therapists;skaters,All;climbers;skaters|All;skaters;climbers|Some;climbers;skaters|Some;skaters;climbers|Some not;climbers;skaters|Some not;skaters;climbers|No;climbers;skaters|No;skaters;climbers|NVC,Some not;climbers;skaters,single-choice,syllogistic,female,56,1_32_R
No;farmers;scholars/Some not;assistants;scholars,All;farmers;assistants|All;assistants;farmers|Some;farmers;assistants|Some;assistants;farmers|Some not;farmers;assistants|Some not;assistants;farmers|No;farmers;assistants|No;assistants;farmers|NVC,NVC,single-choice,syllogistic,female,56,1_33_R
All;drillers;actors/Some not;nurses;drillers,All;actors;nurses|All;nurses;actors|Some;actors;nurses|Some;nurses;actors|Some not;actors;nurses|Some not;nurses;actors|No;actors;nurses|No;nurses;actors|NVC,Some not;nurses;actors,single-choice,syllogistic,female,56,1_34_R
Some;planners;artists/All;artists;surfers,All;planners;surfers|All;surfers;planners|Some;planners;surfers|Some;surfers;planners|Some not;planners;surfers|Some not;surfers;planners|No;planners;surfers|No;surfers;planners|NVC,Some;planners;surfers,single-choice,syllogistic,female,56,1_35_R
Some;workers;actors/Some not;painters;actors,All;workers;painters|All;painters;workers|Some;workers;painters|Some;painters;workers|Some not;workers;painters|Some not;painters;workers|No;workers;painters|No;painters;workers|NVC,NVC,single-choice,syllogistic,female,56,1_36_R
No;runners;scientists/Some not;scientists;chefs,All;runners;chefs|All;chefs;runners|Some;runners;chefs|Some;chefs;runners|Some not;runners;chefs|Some not;chefs;runners|No;runners;chefs|No;chefs;runners|NVC,NVC,single-choice,syllogistic,female,56,1_37_R
Some;novelists;travelers/Some;travelers;analysts,All;novelists;analysts|All;analysts;novelists|Some;novelists;analysts|Some;analysts;novelists|Some not;novelists;analysts|Some not;analysts;novelists|No;novelists;analysts|No;analysts;novelists|NVC,NVC,single-choice,syllogistic,female,56,1_38_R
Some not;doctors;tellers/No;tellers;climbers,All;doctors;climbers|All;climbers;doctors|Some;doctors;climbers|Some;climbers;doctors|Some not;doctors;climbers|Some not;climbers;doctors|No;doctors;climbers|No;climbers;doctors|NVC,NVC,single-choice,syllogistic,female,56,1_39_R
All;poets;cashiers/All;waiters;cashiers,All;poets;waiters|All;waiters;poets|Some;poets;waiters|Some;waiters;poets|Some not;poets;waiters|Some not;waiters;poets|No;poets;waiters|No;waiters;poets|NVC,NVC,single-choice,syllogistic,female,56,1_40_R
All;sculptors;bakers/No;bakers;gamblers,All;sculptors;gamblers|All;gamblers;sculptors|Some;sculptors;gamblers|Some;gamblers;sculptors|Some not;sculptors;gamblers|Some not;gamblers;sculptors|No;sculptors;gamblers|No;gamblers;sculptors|NVC,No;sculptors;gamblers,single-choice,syllogistic,female,56,1_41_R
No;managers;clerks/Some;clerks;models,All;managers;models|All;models;managers|Some;managers;models|Some;models;managers|Some not;managers;models|Some not;models;managers|No;managers;models|No;models;managers|NVC,NVC,single-choice,syllogistic,female,56,1_42_R
All;brokers;secretaries/Some;secretaries;agents,All;brokers;agents|All;agents;brokers|Some;brokers;agents|Some;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|No;brokers;agents|No;agents;brokers|NVC,Some;brokers;agents,single-choice,syllogistic,female,56,1_43_R
Some;dancers;boxers/Some;dancers;typists,All;boxers;typists|All;typists;boxers|Some;boxers;typists|Some;typists;boxers|Some not;boxers;typists|Some not;typists;boxers|No;boxers;typists|No;typists;boxers|NVC,NVC,single-choice,syllogistic,female,56,1_44_R
All;drivers;writers/Some;hikers;writers,All;drivers;hikers|All;hikers;drivers|Some;drivers;hikers|Some;hikers;drivers|Some not;drivers;hikers|Some not;hikers;drivers|No;drivers;hikers|No;hikers;drivers|NVC,NVC,single-choice,syllogistic,female,56,1_45_R
All;divers;carpenters/Some not;carpenters;linguists,All;divers;linguists|All;linguists;divers|Some;divers;linguists|Some;linguists;divers|Some not;divers;linguists|Some not;linguists;divers|No;divers;linguists|No;linguists;divers|NVC,Some not;divers;linguists,single-choice,syllogistic,female,56,1_46_R
All;painters;cleaners/Some not;painters;auditors,All;cleaners;auditors|All;auditors;cleaners|Some;cleaners;auditors|Some;auditors;cleaners|Some not;cleaners;auditors|Some not;auditors;cleaners|No;cleaners;auditors|No;auditors;cleaners|NVC,Some not;cleaners;auditors,single-choice,syllogistic,female,56,1_47_R
No;florists;editors/All;soldiers;florists,All;editors;soldiers|All;soldiers;editors|Some;editors;soldiers|Some;soldiers;editors|Some not;editors;soldiers|Some not;soldiers;editors|No;editors;soldiers|No;soldiers;editors|NVC,No;soldiers;editors,single-choice,syllogistic,female,56,1_48_R
Some;swimmers;mayors/No;mayors;cooks,All;swimmers;cooks|All;cooks;swimmers|Some;swimmers;cooks|Some;cooks;swimmers|Some not;swimmers;cooks|Some not;cooks;swimmers|No;swimmers;cooks|No;cooks;swimmers|NVC,NVC,single-choice,syllogistic,female,56,1_49_R
Some;architects;designers/Some not;designers;trainers,All;architects;trainers|All;trainers;architects|Some;architects;trainers|Some;trainers;architects|Some not;architects;trainers|Some not;trainers;architects|No;architects;trainers|No;trainers;architects|NVC,NVC,single-choice,syllogistic,female,56,1_50_R
All;tutors;butchers/No;packers;tutors,All;butchers;packers|All;packers;butchers|Some;butchers;packers|Some;packers;butchers|Some not;butchers;packers|Some not;packers;butchers|No;butchers;packers|No;packers;butchers|NVC,No;packers;butchers,single-choice,syllogistic,female,56,1_51_R
Some not;singers;tailors/Some;pilots;tailors,All;singers;pilots|All;pilots;singers|Some;singers;pilots|Some;pilots;singers|Some not;singers;pilots|Some not;pilots;singers|No;singers;pilots|No;pilots;singers|NVC,NVC,single-choice,syllogistic,female,56,1_52_R
Some;opticians;actuaries/Some;boxers;actuaries,All;opticians;boxers|All;boxers;opticians|Some;opticians;boxers|Some;boxers;opticians|Some not;opticians;boxers|Some not;boxers;opticians|No;opticians;boxers|No;boxers;opticians|NVC,NVC,single-choice,syllogistic,female,56,1_53_R
Some;sailors;chemists/No;potters;sailors,All;chemists;potters|All;potters;chemists|Some;chemists;potters|Some;potters;chemists|Some not;chemists;potters|Some not;potters;chemists|No;chemists;potters|No;potters;chemists|NVC,Some not;potters;chemists,single-choice,syllogistic,female,56,1_54_R
Some not;investors;barbers/All;barbers;jugglers,All;investors;jugglers|All;jugglers;investors|Some;investors;jugglers|Some;jugglers;investors|Some not;investors;jugglers|Some not;jugglers;investors|No;investors;jugglers|No;jugglers;investors|NVC,Some not;investors;jugglers,single-choice,syllogistic,female,56,1_55_R
Some not;judges;brewers/Some;porters;judges,All;brewers;porters|All;porters;brewers|Some;brewers;porters|Some;porters;brewers|Some not;brewers;porters|Some not;porters;brewers|No;brewers;porters|No;porters;brewers|NVC,NVC,single-choice,syllogistic,female,56,1_56_R
Some;hunters;athletes/Some not;hunters;lawyers,All;athletes;lawyers|All;lawyers;athletes|Some;athletes;lawyers|Some;lawyers;athletes|Some not;athletes;lawyers|Some not;lawyers;athletes|No;athletes;lawyers|No;lawyers;athletes|NVC,NVC,single-choice,syllogistic,female,56,1_57_R
No;buyers;cyclists/All;buyers;students,All;cyclists;students|All;students;cyclists|Some;cyclists;students|Some;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|No;cyclists;students|No;students;cyclists|NVC,No;students;cyclists,single-choice,syllogistic,female,56,1_58_R
No;poets;miners/Some;poets;skaters,All;miners;skaters|All;skaters;miners|Some;miners;skaters|Some;skaters;miners|Some not;miners;skaters|Some not;skaters;miners|No;miners;skaters|No;skaters;miners|NVC,NVC,single-choice,syllogistic,female,56,1_59_R
Some not;campers;engineers/Some;engineers;fencers,All;campers;fencers|All;fencers;campers|Some;campers;fencers|Some;fencers;campers|Some not;campers;fencers|Some not;fencers;campers|No;campers;fencers|No;fencers;campers|NVC,NVC,single-choice,syllogistic,female,56,1_60_R
No;bankers;teachers/No;golfers;teachers,All;bankers;golfers|All;golfers;bankers|Some;bankers;golfers|Some;golfers;bankers|Some not;bankers;golfers|Some not;golfers;bankers|No;bankers;golfers|No;golfers;bankers|NVC,NVC,single-choice,syllogistic,female,56,1_61_R
No;counselors;joggers/Some not;riders;counselors,All;joggers;riders|All;riders;joggers|Some;joggers;riders|Some;riders;joggers|Some not;joggers;riders|Some not;riders;joggers|No;joggers;riders|No;riders;joggers|NVC,NVC,single-choice,syllogistic,female,56,1_62_R
Some not;lifeguards;dentists/No;plumbers;dentists,All;lifeguards;plumbers|All;plumbers;lifeguards|Some;lifeguards;plumbers|Some;plumbers;lifeguards|Some not;lifeguards;plumbers|Some not;plumbers;lifeguards|No;lifeguards;plumbers|No;plumbers;lifeguards|NVC,NVC,single-choice,syllogistic,female,56,1_63_R
Some;cooks;mayors/All;cooks;swimmers,All;mayors;swimmers|All;swimmers;mayors|Some;mayors;swimmers|Some;swimmers;mayors|Some not;mayors;swimmers|Some not;swimmers;mayors|No;mayors;swimmers|No;swimmers;mayors|NVC,Some;mayors;swimmers,single-choice,syllogistic,female,28,2_0_R
No;painters;auditors/All;cleaners;auditors,All;painters;cleaners|All;cleaners;painters|Some;painters;cleaners|Some;cleaners;painters|Some not;painters;cleaners|Some not;cleaners;painters|No;painters;cleaners|No;cleaners;painters|NVC,No;painters;cleaners,single-choice,syllogistic,female,28,2_1_R
All;scientists;runners/All;runners;chefs,All;scientists;chefs|All;chefs;scientists|Some;scientists;chefs|Some;chefs;scientists|Some not;scientists;chefs|Some not;chefs;scientists|No;scientists;chefs|No;chefs;scientists|NVC,All;scientists;chefs,single-choice,syllogistic,female,28,2_2_R
All;skaters;climbers/Some;therapists;skaters,All;climbers;therapists|All;therapists;climbers|Some;climbers;therapists|Some;therapists;climbers|Some not;climbers;therapists|Some not;therapists;climbers|No;climbers;therapists|No;therapists;climbers|NVC,Some;therapists;climbers,single-choice,syllogistic,female,28,2_3_R
All;hunters;athletes/All;lawyers;athletes,All;hunters;lawyers|All;lawyers;hunters|Some;hunters;lawyers|Some;lawyers;hunters|Some not;hunters;lawyers|Some not;lawyers;hunters|No;hunters;lawyers|No;lawyers;hunters|NVC,All;hunters;lawyers,single-choice,syllogistic,female,28,2_4_R
Some;judges;brewers/Some not;brewers;porters,All;judges;porters|All;porters;judges|Some;judges;porters|Some;porters;judges|Some not;judges;porters|Some not;porters;judges|No;judges;porters|No;porters;judges|NVC,Some;judges;porters,single-choice,syllogistic,female,28,2_5_R
All;pilots;tailors/Some;tailors;singers,All;pilots;singers|All;singers;pilots|Some;pilots;singers|Some;singers;pilots|Some not;pilots;singers|Some not;singers;pilots|No;pilots;singers|No;singers;pilots|NVC,All;pilots;singers,single-choice,syllogistic,female,28,2_6_R
Some not;campers;engineers/Some not;engineers;fencers,All;campers;fencers|All;fencers;campers|Some;campers;fencers|Some;fencers;campers|Some not;campers;fencers|Some not;fencers;campers|No;campers;fencers|No;fencers;campers|NVC,Some not;fencers;campers,single-choice,syllogistic,female,28,2_7_R
No;lifeguards;dentists/No;plumbers;lifeguards,All;dentists;plumbers|All;plumbers;dentists|Some;dentists;plumbers|Some;plumbers;dentists|Some not;dentists;plumbers|Some not;plumbers;dentists|No;dentists;plumbers|No;plumbers;dentists|NVC,No;dentists;plumbers,single-choice,syllogistic,female,28,2_8_R
No;travelers;analysts/Some not;novelists;analysts,All;travelers;novelists|All;novelists;travelers|Some;travelers;novelists|Some;novelists;travelers|Some not;travelers;novelists|Some not;novelists;travelers|No;travelers;novelists|No;novelists;travelers|NVC,Some not;travelers;novelists,single-choice,syllogistic,female,28,2_9_R
Some not;teachers;golfers/Some;bankers;golfers,All;teachers;bankers|All;bankers;teachers|Some;teachers;bankers|Some;bankers;teachers|Some not;teachers;bankers|Some not;bankers;teachers|No;teachers;bankers|No;bankers;teachers|NVC,NVC,single-choice,syllogistic,female,28,2_10_R
Some not;typists;boxers/Some not;dancers;boxers,All;typists;dancers|All;dancers;typists|Some;typists;dancers|Some;dancers;typists|Some not;typists;dancers|Some not;dancers;typists|No;typists;dancers|No;dancers;typists|NVC,NVC,single-choice,syllogistic,female,28,2_11_R
All;artists;planners/All;artists;surfers,All;planners;surfers|All;surfers;planners|Some;planners;surfers|Some;surfers;planners|Some not;planners;surfers|Some not;surfers;planners|No;planners;surfers|No;surfers;planners|NVC,All;planners;surfers,single-choice,syllogistic,female,28,2_12_R
All;hikers;drivers/Some not;writers;hikers,All;drivers;writers|All;writers;drivers|Some;drivers;writers|Some;writers;drivers|Some not;drivers;writers|Some not;writers;drivers|No;drivers;writers|No;writers;drivers|NVC,Some;drivers;writers,single-choice,syllogistic,female,28,2_13_R
All;brokers;agents/No;agents;secretaries,All;brokers;secretaries|All;secretaries;brokers|Some;brokers;secretaries|Some;secretaries;brokers|Some not;brokers;secretaries|Some not;secretaries;brokers|No;brokers;secretaries|No;secretaries;brokers|NVC,No;secretaries;brokers,single-choice,syllogistic,female,28,2_14_R
All;linguists;carpenters/No;divers;carpenters,All;linguists;divers|All;divers;linguists|Some;linguists;divers|Some;divers;linguists|Some not;linguists;divers|Some not;divers;linguists|No;linguists;divers|No;divers;linguists|NVC,No;divers;linguists,single-choice,syllogistic,female,28,2_15_R
No;farmers;scholars/No;assistants;scholars,All;farmers;assistants|All;assistants;farmers|Some;farmers;assistants|Some;assistants;farmers|Some not;farmers;assistants|Some not;assistants;farmers|No;farmers;assistants|No;assistants;farmers|NVC,NVC,single-choice,syllogistic,female,28,2_16_R
All;opticians;boxers/All;actuaries;opticians,All;boxers;actuaries|All;actuaries;boxers|Some;boxers;actuaries|Some;actuaries;boxers|Some not;boxers;actuaries|Some not;actuaries;boxers|No;boxers;actuaries|No;actuaries;boxers|NVC,All;boxers;actuaries,single-choice,syllogistic,female,28,2_17_R
Some;poets;skaters/Some not;poets;miners,All;skaters;miners|All;miners;skaters|Some;skaters;miners|Some;miners;skaters|Some not;skaters;miners|Some not;miners;skaters|No;skaters;miners|No;miners;skaters|NVC,Some not;miners;skaters,single-choice,syllogistic,female,28,2_18_R
All;editors;soldiers/Some not;soldiers;florists,All;editors;florists|All;florists;editors|Some;editors;florists|Some;florists;editors|Some not;editors;florists|Some not;florists;editors|No;editors;florists|No;florists;editors|NVC,Some not;editors;florists,single-choice,syllogistic,female,28,2_19_R
Some;sailors;chemists/All;potters;sailors,All;chemists;potters|All;potters;chemists|Some;chemists;potters|Some;potters;chemists|Some not;chemists;potters|Some not;potters;chemists|No;chemists;potters|No;potters;chemists|NVC,Some;potters;chemists,single-choice,syllogistic,female,28,2_20_R
No;barbers;investors/Some;barbers;jugglers,All;investors;jugglers|All;jugglers;investors|Some;investors;jugglers|Some;jugglers;investors|Some not;investors;jugglers|Some not;jugglers;investors|No;investors;jugglers|No;jugglers;investors|NVC,NVC,single-choice,syllogistic,female,28,2_21_R
Some not;cyclists;buyers/No;buyers;students,All;cyclists;students|All;students;cyclists|Some;cyclists;students|Some;students;cyclists|Some not;cyclists;students|Some not;students;cyclists|No;cyclists;students|No;students;cyclists|NVC,No;students;cyclists,single-choice,syllogistic,female,28,2_22_R
Some not;actors;workers/Some not;painters;actors,All;workers;painters|All;painters;workers|Some;workers;painters|Some;painters;workers|Some not;workers;painters|Some not;painters;workers|No;workers;painters|No;painters;workers|NVC,Some;painters;workers,single-choice,syllogistic,female,28,2_23_R
Some not;cashiers;waiters/Some;poets;cashiers,All;waiters;poets|All;poets;waiters|Some;waiters;poets|Some;poets;waiters|Some not;waiters;poets|Some not;poets;waiters|No;waiters;poets|No;poets;waiters|NVC,Some not;waiters;poets,single-choice,syllogistic,female,28,2_24_R
Some;clerks;managers/No;managers;models,All;clerks;models|All;models;clerks|Some;clerks;models|Some;models;clerks|Some not;clerks;models|Some not;models;clerks|No;clerks;models|No;models;clerks|NVC,No;models;clerks,single-choice,syllogistic,female,28,2_25_R
No;joggers;counselors/Some;riders;joggers,All;counselors;riders|All;riders;counselors|Some;counselors;riders|Some;riders;counselors|Some not;counselors;riders|Some not;riders;counselors|No;counselors;riders|No;riders;counselors|NVC,No;riders;counselors,single-choice,syllogistic,female,28,2_26_R
Some not;actors;nurses/No;drillers;nurses,All;actors;drillers|All;drillers;actors|Some;actors;drillers|Some;drillers;actors|Some not;actors;drillers|Some not;drillers;actors|No;actors;drillers|No;drillers;actors|NVC,NVC,single-choice,syllogistic,female,28,2_27_R
No;bakers;sculptors/All;sculptors;gamblers,All;bakers;gamblers|All;gamblers;bakers|Some;bakers;gamblers|Some;gamblers;bakers|Some not;bakers;gamblers|Some not;gamblers;bakers|No;bakers;gamblers|No;gamblers;bakers|NVC,No;bakers;gamblers,single-choice,syllogistic,female,28,2_28_R
No;designers;trainers/Some;architects;trainers,All;designers;architects|All;architects;designers|Some;designers;architects|Some;architects;designers|Some not;designers;architects|Some not;architects;designers|No;designers;architects|No;architects;designers|NVC,NVC,single-choice,syllogistic,female,28,2_29_R
Some;packers;tutors/Some not;butchers;tutors,All;packers;butchers|All;butchers;packers|Some;packers;butchers|Some;butchers;packers|Some not;packers;butchers|Some not;butchers;packers|No;packers;butchers|No;butchers;packers|NVC,NVC,single-choice,syllogistic,female,28,2_30_R
No;climbers;doctors/Some not;doctors;tellers,All;climbers;tellers|All;tellers;climbers|Some;climbers;tellers|Some;tellers;climbers|Some not;climbers;tellers|Some not;tellers;climbers|No;climbers;tellers|No;tellers;climbers|NVC,Some not;tellers;climbers,single-choice,syllogistic,female,28,2_31_R
Some not;soldiers;florists/All;soldiers;editors,All;florists;editors|All;editors;florists|Some;florists;editors|Some;editors;florists|Some not;florists;editors|Some not;editors;florists|No;florists;editors|No;editors;florists|NVC,Some not;editors;florists,single-choice,syllogistic,female,28,2_32_R
All;plumbers;dentists/No;plumbers;lifeguards,All;dentists;lifeguards|All;lifeguards;dentists|Some;dentists;lifeguards|Some;lifeguards;dentists|Some not;dentists;lifeguards|Some not;lifeguards;dentists|No;dentists;lifeguards|No;lifeguards;dentists|NVC,No;lifeguards;dentists,single-choice,syllogistic,female,28,2_33_R
Some not;judges;brewers/No;porters;judges,All;brewers;porters|All;porters;brewers|Some;brewers;porters|Some;porters;brewers|Some not;brewers;porters|Some not;porters;brewers|No;brewers;porters|No;porters;brewers|NVC,No;porters;brewers,single-choice,syllogistic,female,28,2_34_R
All;doctors;tellers/Some not;climbers;tellers,All;doctors;climbers|All;climbers;doctors|Some;doctors;climbers|Some;climbers;doctors|Some not;doctors;climbers|Some not;climbers;doctors|No;doctors;climbers|No;climbers;doctors|NVC,NVC,single-choice,syllogistic,female,28,2_35_R
No;secretaries;brokers/All;agents;secretaries,All;brokers;agents|All;agents;brokers|Some;brokers;agents|Some;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|No;brokers;agents|No;agents;brokers|NVC,No;brokers;agents,single-choice,syllogistic,female,28,2_36_R
All;divers;carpenters/Some;linguists;carpenters,All;divers;linguists|All;linguists;divers|Some;divers;linguists|Some;linguists;divers|Some not;divers;linguists|Some not;linguists;divers|No;divers;linguists|No;linguists;divers|NVC,NVC,single-choice,syllogistic,female,28,2_37_R
